iter	Passed	Remaining
649	112265	60450
650	112462	60290
651	112647	60124
652	112872	59979
653	113070	59820
654	113260	59656
655	113456	59495
656	113665	59341
657	113861	59180
658	114044	59012
659	114243	58852
660	114419	58680
661	114638	58531
662	114875	58390
663	115110	58248
664	115333	58100
665	115561	57954
666	115775	57800
667	115991	57648
668	116197	57490
669	116418	57340
670	116615	57178
671	116839	57028
672	117058	56876
673	117251	56712
674	117440	56545
675	117642	56384
676	117835	56219
677	118011	56046
678	118208	55883
679	118446	55739
680	118661	55584
681	118888	55434
682	119105	55280
683	119323	55125
684	119519	54961
685	119722	54800
686	119947	54648
687	120156	54489
688	120366	54330
689	120764	54256
690	121011	54113
691	121254	53968
692	121485	53818
693	121713	53666
694	121960	53522
695	122168	53360
696	122362	53193
697	122586	53039
698	122801	52880
699	123020	52723
700	123236	52564
701	123456	52407
702	123671	52248
703	123825	52062
704	124019	51894
705	124228	51732
706	124416	51561
707	124629	51400
708	124851	51243
709	125038	51071
710	125247	50909
711	125438	50739
712	125648	50576
713	125846	50408
714	126049	50243
715	126255	50078
716	126458	49913
717	126627	49733
718	126823	49565
719	127016	49395
720	127208	49224
721	127389	49050
722	127585	48881
723	127780	48712
724	127978	48543
725	128154	48366
726	128351	48198
727	128540	48026
728	128717	47849
729	128905	47677
730	129092	47504
731	129290	47335
732	129480	47164
733	129699	47002
734	129977	46862
735	130201	46702
736	130408	46536
737	130561	46351
738	130709	46163
739	130868	45980
740	131017	45794
741	131166	45607
742	131318	45422
743	131464	45235
744	131620	45051
745	131788	44871
746	131972	44697
747	132139	44517
748	132306	44337
749	132462	44154
750	132642	43978
751	132844	43810
752	133028	43636
753	133206	43459
754	133372	43279
755	133555	43105
756	133757	42936
757	133940	42762
758	134129	42589
759	134317	42415
760	134546	42255
761	134754	42088
762	134943	41915
763	135136	41743
764	135299	41562
765	135478	41386
766	135642	41205
767	135816	41027
768	135998	40852
769	136173	40675
770	136315	40488
771	136496	40312
772	136673	40135
773	136843	39956
774	137014	39778
775	137217	39609
776	137422	39440
777	137599	39263
778	137789	39090
779	137999	38922
780	138171	38744
781	138349	38567
782	138509	38386
783	138663	38203
784	138825	38022
785	139018	37849
786	139189	37671
787	139362	37493
788	139514	37309
789	139695	37134
790	139898	36964
791	140093	36792
792	140269	36615
793	140451	36439
794	140617	36259
795	140795	36083
796	141004	35914
797	141192	35740
798	141397	35570
799	141571	35392
800	141751	35216
801	141936	35041
802	142096	34860
803	142239	34675
804	142381	34489
805	142522	34304
806	142661	34118
807	142798	33932
808	142928	33744
809	143062	33557
810	143202	33372
811	143342	33187
812	143483	33002
813	143619	32817
814	143772	32635
815	143991	32468
816	144151	32288
817	144303	32106
818	144455	31924
819	144616	31745
820	144769	31563
821	144923	31382
822	145070	31199
823	145226	31019
824	145374	30836
825	145517	30653
826	145666	30471
827	145857	30298
828	146045	30125
829	146217	29948
830	146376	29768
831	146608	29603
832	146790	29428
833	146960	29251
834	147158	29079
835	147327	28901
836	147518	28728
837	147698	28552
838	147863	28374
839	148030	28196
840	148180	28015
841	148325	27833
842	148467	27650
843	148620	27470
844	148778	27290
845	148938	27111
846	149081	26929
847	149235	26749
848	149378	26567
849	149527	26387
850	149672	26205
851	149841	26028
852	150029	25855
853	150181	25675
854	150323	25493
855	150471	25312
856	150654	25138
857	150859	24967
858	151042	24792
859	151204	24614
860	151390	24440
861	151554	24262
862	151722	24085
863	151920	23913
864	152105	23738
865	152280	23563
866	152448	23385
867	152606	23207
868	152763	23028
869	152925	22850
870	153091	22673
871	153278	22499
872	153470	22326
873	153663	22152
874	153846	21978
875	154046	21805
876	154267	21636
877	154456	21462
878	154643	21287
879	154822	21112
880	154985	20934
881	155144	20756
882	155295	20577
883	155446	20397
884	155602	20219
885	155764	20041
886	155920	19863
887	156096	19687
888	156295	19514
889	156504	19343
890	156702	19170
891	156860	18992
892	157023	18814
893	157174	18635
894	157338	18458
895	157506	18282
896	157692	18107
897	157846	17929
898	158004	17751
899	158156	17572
900	158316	17395
901	158463	17216
902	158643	17041
903	158804	16864
904	158965	16686
905	159131	16510
906	159289	16332
907	159529	16163
908	159716	15989
909	159878	15812
910	160036	15634
911	160185	15456
912	160323	15277
913	160482	15100
914	160625	14921
915	160766	14742
916	160914	14564
917	161061	14386
918	161213	14209
919	161366	14031
920	161510	13853
921	161659	13676
922	161816	13499
923	161965	13321
924	162105	13143
925	162249	12965
926	162391	12788
927	162548	12611
928	162695	12434
929	162847	12257
930	162990	12079
931	163136	11902
932	163281	11725
933	163422	11548
934	163558	11370
935	163699	11193
936	163852	11016
937	163997	10839
938	164147	10663
939	164298	10487
940	164441	10310
941	164588	10133
942	164738	9957
943	164891	9781
944	165054	9606
945	165223	9431
946	165384	9255
947	165541	9080
948	165688	8904
949	165836	8728
950	165985	8552
951	166135	8376
952	166278	8200
953	166419	8024
954	166567	7848
955	166705	7672
956	166856	7497
957	167009	7321
958	167156	7146
959	167298	6970
960	167441	6795
961	167586	6619
962	167726	6444
963	167877	6269
964	168020	6093
965	168163	5918
966	168306	5743
967	168448	5568
968	168596	5393
969	168739	5218
970	168891	5044
971	169050	4869
972	169199	4695
973	169352	4520
974	169500	4346
975	169644	4171
976	169792	3997
977	169945	3822
978	170092	3648
979	170231	3474
980	170381	3299
981	170526	3125
982	170668	2951
983	170810	2777
984	170959	2603
985	171106	2429
986	171257	2255
987	171406	2081
988	171553	1908
989	171708	1734
990	171863	1560
991	172043	1387
992	172201	1213
993	172343	1040
994	172488	866
995	172623	693
996	172753	519
997	172890	346
998	173025	173
999	173159	0
